자치구,총합,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
강남구,79274,344,3128,11788,14217,9359,7831,5588,4862,3763,3778,4336,3520,2985,2074,1701
강동구,65601,145,2297,9511,9378,5413,4532,3798,4322,4193,5408,5839,4121,3079,2050,1515
강북구,53705,359,3700,5586,4788,3144,3020,2847,3881,4173,5016,5185,3924,3521,2788,1773
강서구,106748,228,4548,18337,18893,10420,7433,5625,5763,5476,6639,7672,5554,4430,3180,2550
관악구,153605,1002,16175,41982,29730,12777,8653,6308,6379,5711,6026,6002,4476,3762,2780,1842
광진구,72933,558,7807,15448,12304,6327,4598,3371,3728,3644,4000,3813,2498,2030,1572,1235
구로구,62632,226,2723,9545,9316,5463,4154,3436,4020,3874,4523,4765,3622,3082,2254,1629
금천구,53858,128,2448,10350,9171,4525,3255,2526,3221,3524,4010,3668,2486,1989,1532,1025
노원구,67182,748,6086,5727,5289,3904,3679,3419,4402,4449,5671,6676,5311,4822,3926,3073
도봉구,43347,163,1714,3556,3919,2726,2620,2420,3339,3507,4228,4709,3250,2850,2446,1900
동대문구,72355,1261,11679,13451,8478,4571,3638,3144,3570,3592,4338,4479,3308,2884,2327,1635
동작구,75148,856,8991,16673,12110,6090,4252,3355,3338,3082,3447,3770,2958,2641,2005,1580
마포구,73327,586,7078,14822,13126,7410,5429,3951,3883,2952,2989,3070,2310,2290,1908,1523
서대문구,56770,646,8928,10386,6990,3952,3137,2519,2995,2667,3044,3247,2371,2325,1977,1586
서초구,49443,210,2087,7218,8661,5677,4464,3374,3325,2580,2538,2819,2203,1938,1280,1069
성동구,48442,627,5025,8224,6857,3892,3078,2457,2804,2752,3079,2976,2148,1871,1508,1144
성북구,70230,1457,12035,10820,7041,4380,3705,3076,3837,3669,4383,4617,3373,3205,2612,2020
송파구,89720,244,2913,13955,16673,9846,7497,5363,5480,4659,5444,5828,4200,3416,2377,1825
양천구,47886,122,1205,4692,5601,3600,3204,2785,3317,3480,4441,4883,3759,2950,2135,1712
영등포구,79698,156,3963,16801,16083,8053,5197,3855,4235,3828,4189,4149,3033,2597,2012,1547
용산구,40445,169,2493,5889,7445,4485,3252,2369,2512,2157,2233,2172,1592,1405,1145,1127
은평구,70568,199,3106,9609,9371,5444,4780,3903,4781,4479,5481,5895,4386,3886,3093,2155
종로구,29779,475,3336,5017,3871,2183,1801,1495,1815,1765,1903,1829,1303,1172,1006,808
중구,28968,458,2503,4151,4430,2617,2011,1557,1689,1586,1779,1940,1385,1136,942,784
중랑구,69149,227,2875,8325,8438,5116,4375,3755,4844,5653,6738,6616,4371,3462,2580,1774
